,Name,Favorite_Song,C_ID_t,E_ID_t,Mother,PH_ID_Chicken,PR_ID_Chicken,PH_Name_t,PH_ID_Egg,PR_ID_Egg,I_LOC,NW,Parent_Gen,Father,C_ID_Father,Generation,E_ID_Father,PH_Name_Father,PH_ID,PR_ID,NameCMM,GrandMother,C_IDCMM,E_IDCMM,GrandFather,C_ID_Maternal_Father,E_ID_Maternal_Father,E_IDCM,Mother_I_LOC,E_ID_FatherIL,Father_I_LOC,E_ID,GrandMother_I_LOC,GrandFather_I_LOC,Name_y,Cousin
0,SHEMIKA,We Will Rock You,311742868.0,311742868.0,SONG,38690046.0,773595312.0,SONG,38690046.0,773595312.0,C,False,Gen1,Easton,773595312,Gen1,773595312,Barb,397591248,800981516,SONG,Mary,38690046,38690046,Ralph,800981516,,38690046,B,773595312,C,38690046,B,B,SHEMIKA,Keshawn
1,LOMA,Mr. Tinkertrain,521708972.0,521708972.0,SONG,38690046.0,967323615.0,SONG,38690046.0,967323615.0,A,False,Gen1,Muhammad,967323615,Gen1,967323615,Barb,397591248,800981516,SONG,Mary,38690046,38690046,Ralph,800981516,,38690046,B,967323615,B,38690046,B,B,LOMA,Marc
2,Dominik,Lodi,466892529.0,466892529.0,SONG,38690046.0,457028849.0,SONG,38690046.0,457028849.0,A,False,Gen1,Deonte,457028849,Gen1,457028849,Pat,631311759,800981516,SONG,Mary,38690046,38690046,Ralph,800981516,,38690046,B,457028849,C,38690046,B,B,Dominik,MAGDALEN
3,Brad,Helter Skelter,304992598.0,304992598.0,SONG,38690046.0,762431730.0,SONG,38690046.0,762431730.0,B,True,Gen1,Kamron,762431730,Gen1,762431730,Liz,630559425,800981516,SONG,Mary,38690046,38690046,Ralph,800981516,,38690046,B,762431730,B,38690046,B,B,Brad,Conner
4,Willie,South California Purples,313244498.0,313244498.0,SONG,38690046.0,762431730.0,SONG,38690046.0,762431730.0,C,False,Gen1,Kamron,762431730,Gen1,762431730,Liz,630559425,800981516,SONG,Mary,38690046,38690046,Ralph,800981516,,38690046,B,762431730,B,38690046,B,B,Willie,Emanuel
5,ESSIE,THE CONTINUING STORY OF BUNG,877450001.0,877450001.0,SONG,38690046.0,870351723.0,SONG,38690046.0,870351723.0,A,False,Gen1,Lincoln,870351723,Gen1,870351723,Pat,631311759,800981516,SONG,Mary,38690046,38690046,Ralph,800981516,,38690046,B,870351723,A,38690046,B,B,ESSIE,Clayton
6,Pierre,Owner of a Lonely Heart,665227845.0,665227845.0,SONG,38690046.0,518692123.0,SONG,38690046.0,518692123.0,C,False,Gen1,Kane,518692123,Gen1,518692123,Barb,397591248,800981516,SONG,Mary,38690046,38690046,Ralph,800981516,,38690046,B,518692123,C,38690046,B,B,Pierre,Josiah
7,August,Rosewood Bitters,83494439.0,83494439.0,SONG,38690046.0,443353346.0,SONG,38690046.0,443353346.0,C,False,Gen1,Samir,443353346,Gen1,443353346,Mary,225766667,800981516,SONG,Mary,38690046,38690046,Ralph,800981516,,38690046,B,443353346,A,38690046,B,B,August,NOELIA
8,Emanuel,Right Down the Line,447008221.0,447008221.0,SONG,38690046.0,787976750.0,SONG,38690046.0,787976750.0,C,False,Gen1,Vincent,787976750,Gen1,787976750,Barb,397591248,800981516,SONG,Mary,38690046,38690046,Ralph,800981516,,38690046,B,787976750,B,38690046,B,B,Emanuel,NORAH
9,LUIS,It Wasn't Me,243900099.0,243900099.0,SONG,38690046.0,102634120.0,SONG,38690046.0,102634120.0,B,True,Gen1,Bernard,102634120,Gen1,102634120,Pat,631311759,800981516,SONG,Mary,38690046,38690046,Ralph,800981516,,38690046,B,102634120,A,38690046,B,B,LUIS,BARBERA
