,Name,Favorite_Song,C_ID_t,E_ID_t,Mother,PH_ID_Chicken,PR_ID_Chicken,PH_Name_t,PH_ID_Egg,PR_ID_Egg,I_LOC,NW,Parent_Gen,Father,C_ID_Father,Generation,E_ID_Father,PH_Name_Father,PH_ID,PR_ID,NameCMM,GrandMother,C_IDCMM,E_IDCMM,GrandFather,C_ID_Maternal_Father,E_ID_Maternal_Father,E_IDCM,Mother_I_LOC,E_ID_FatherIL,Father_I_LOC,E_ID,GrandMother_I_LOC,GrandFather_I_LOC,Name_y,Cousin
0,Johan,Gone Gone Gone,35791117.0,35791117.0,ILIANA,598175413.0,473017162.0,ILIANA,598175413.0,473017162.0,C,False,Gen1,Derrick,473017162,Gen1,473017162,Pat,631311759,800981516,ILIANA,Liz,598175413,598175413,Ralph,800981516,,598175413,B,473017162,B,598175413,B,B,Johan,Steven
1,Luca,Women,988498811.0,988498811.0,ILIANA,598175413.0,890606190.0,ILIANA,598175413.0,890606190.0,A,False,Gen1,Bobby,890606190,Gen1,890606190,Barb,397591248,800981516,ILIANA,Liz,598175413,598175413,Ralph,800981516,,598175413,B,890606190,B,598175413,B,B,Luca,Jaylon
2,MANDIE,Mistral Wind,282876868.0,282876868.0,ILIANA,598175413.0,773595312.0,ILIANA,598175413.0,773595312.0,C,False,Gen1,Easton,773595312,Gen1,773595312,Barb,397591248,800981516,ILIANA,Liz,598175413,598175413,Ralph,800981516,,598175413,B,773595312,B,598175413,B,B,MANDIE,Bryce
3,MILAGRO,Bell Bottom Blues,461050433.0,461050433.0,ILIANA,598175413.0,141566545.0,ILIANA,598175413.0,141566545.0,B,True,Gen1,Billy,141566545,Gen1,141566545,Barb,397591248,800981516,ILIANA,Liz,598175413,598175413,Ralph,800981516,,598175413,B,141566545,B,598175413,B,B,MILAGRO,DOMINIQUE
4,TOBI,Still of the Night,29249976.0,29249976.0,ILIANA,598175413.0,141566545.0,ILIANA,598175413.0,141566545.0,A,False,Gen1,Billy,141566545,Gen1,141566545,Barb,397591248,800981516,ILIANA,Liz,598175413,598175413,Ralph,800981516,,598175413,B,141566545,B,598175413,B,B,TOBI,Jarred
5,CATHERIN,My Own Worst Enemy,808858548.0,808858548.0,ILIANA,598175413.0,141566545.0,ILIANA,598175413.0,141566545.0,B,True,Gen1,Billy,141566545,Gen1,141566545,Barb,397591248,800981516,ILIANA,Liz,598175413,598175413,Ralph,800981516,,598175413,B,141566545,B,598175413,B,B,CATHERIN,MICHELE
6,CELENA,Civil War,681302756.0,681302756.0,ILIANA,598175413.0,141566545.0,ILIANA,598175413.0,141566545.0,B,True,Gen1,Billy,141566545,Gen1,141566545,Barb,397591248,800981516,ILIANA,Liz,598175413,598175413,Ralph,800981516,,598175413,B,141566545,B,598175413,B,B,CELENA,Ari
7,Zachariah,CAN'T GET IT OUT OF MY HEAD,853177290.0,853177290.0,ILIANA,598175413.0,854600776.0,ILIANA,598175413.0,854600776.0,C,False,Gen1,Levi,854600776,Gen1,854600776,Pat,631311759,800981516,ILIANA,Liz,598175413,598175413,Ralph,800981516,,598175413,B,854600776,B,598175413,B,B,Zachariah,Guy
8,Scott,Paint It Black,964350220.0,964350220.0,ILIANA,598175413.0,102634120.0,ILIANA,598175413.0,102634120.0,B,True,Gen1,Bernard,102634120,Gen1,102634120,Pat,631311759,800981516,ILIANA,Liz,598175413,598175413,Ralph,800981516,,598175413,B,102634120,A,598175413,B,B,Scott,Jared
9,Ali,Street Corner Serenade,329755196.0,329755196.0,ILIANA,598175413.0,102634120.0,ILIANA,598175413.0,102634120.0,A,False,Gen1,Bernard,102634120,Gen1,102634120,Pat,631311759,800981516,ILIANA,Liz,598175413,598175413,Ralph,800981516,,598175413,B,102634120,A,598175413,B,B,Ali,SHIRLENE
