,Name,Favorite_Song,C_ID_t,E_ID_t,Mother,PH_ID_Chicken,PR_ID_Chicken,PH_Name_t,PH_ID_Egg,PR_ID_Egg,I_LOC,NW,Parent_Gen,Father,C_ID_Father,Generation,E_ID_Father,PH_Name_Father,PH_ID,PR_ID,NameCMM,GrandMother,C_IDCMM,E_IDCMM,GrandFather,C_ID_Maternal_Father,E_ID_Maternal_Father,E_IDCM,Mother_I_LOC,E_ID_FatherIL,Father_I_LOC,E_ID,GrandMother_I_LOC,GrandFather_I_LOC
0,JI,Band on the Run,575631227.0,575631227.0,SIGRID,665554047.0,159398693.0,SIGRID,665554047.0,159398693.0,C,False,Gen1,Rowan,159398693,Gen1,159398693,Liz,630559425,800981516,SIGRID,Pat,665554047,665554047,Ralph,800981516,,665554047,B,159398693,A,665554047,B,B
1,ODELL,Urgent,662275938.0,662275938.0,SIGRID,665554047.0,472726931.0,SIGRID,665554047.0,472726931.0,B,True,Gen1,Darius,472726931,Gen1,472726931,Liz,630559425,800981516,SIGRID,Pat,665554047,665554047,Ralph,800981516,,665554047,B,472726931,B,665554047,B,B
2,Kameron,Cum On Feel the Noize,193990178.0,193990178.0,SIGRID,665554047.0,704616095.0,SIGRID,665554047.0,704616095.0,C,False,Gen1,Easton,704616095,Gen1,704616095,Mary,225766667,800981516,SIGRID,Pat,665554047,665554047,Ralph,800981516,,665554047,B,704616095,A,665554047,B,B
3,KASSIE,Ballroom Blitz,815810120.0,815810120.0,SIGRID,665554047.0,115030635.0,SIGRID,665554047.0,115030635.0,A,False,Gen1,Devin,115030635,Gen1,115030635,Liz,630559425,800981516,SIGRID,Pat,665554047,665554047,Ralph,800981516,,665554047,B,115030635,A,665554047,B,B
4,Alex,Baker Street,867621698.0,867621698.0,SIGRID,665554047.0,883399077.0,SIGRID,665554047.0,883399077.0,B,True,Gen1,Brad,883399077,Gen1,883399077,Mary,225766667,800981516,SIGRID,Pat,665554047,665554047,Ralph,800981516,,665554047,B,883399077,B,665554047,B,B
5,YEN,Maxwell's Silver Hammer,314681325.0,314681325.0,SIGRID,665554047.0,812637399.0,SIGRID,665554047.0,812637399.0,A,False,Gen1,Fidel,812637399,Gen1,812637399,Liz,630559425,800981516,SIGRID,Pat,665554047,665554047,Ralph,800981516,,665554047,B,812637399,B,665554047,B,B
6,JUNG,Chest Fever,320451664.0,320451664.0,SIGRID,665554047.0,628269884.0,SIGRID,665554047.0,628269884.0,C,False,Gen1,Chaz,628269884,Gen1,628269884,Mary,225766667,800981516,SIGRID,Pat,665554047,665554047,Ralph,800981516,,665554047,B,628269884,A,665554047,B,B
7,Reuben,Cry For A Shadow,722612517.0,722612517.0,SIGRID,665554047.0,308487563.0,SIGRID,665554047.0,308487563.0,B,True,Gen1,Blaze,308487563,Gen1,308487563,Liz,630559425,800981516,SIGRID,Pat,665554047,665554047,Ralph,800981516,,665554047,B,308487563,B,665554047,B,B
8,MELAINE,Turn On Your Love Light,628493379.0,628493379.0,SIGRID,665554047.0,362893270.0,SIGRID,665554047.0,362893270.0,A,False,Gen1,Orlando,362893270,Gen1,362893270,Liz,630559425,800981516,SIGRID,Pat,665554047,665554047,Ralph,800981516,,665554047,B,362893270,A,665554047,B,B
9,NAKITA,Some Kind of Wonderful,235512141.0,235512141.0,SIGRID,665554047.0,95909451.0,SIGRID,665554047.0,95909451.0,B,True,Gen1,Forrest,95909451,Gen1,95909451,Pat,631311759,800981516,SIGRID,Pat,665554047,665554047,Ralph,800981516,,665554047,B,95909451,C,665554047,B,B
10,Louis,I Thank You,259467782.0,259467782.0,SIGRID,665554047.0,95909451.0,SIGRID,665554047.0,95909451.0,C,False,Gen1,Forrest,95909451,Gen1,95909451,Pat,631311759,800981516,SIGRID,Pat,665554047,665554047,Ralph,800981516,,665554047,B,95909451,C,665554047,B,B
11,EURA,What You Need,332330981.0,332330981.0,SIGRID,665554047.0,547010066.0,SIGRID,665554047.0,547010066.0,B,True,Gen1,Camden,547010066,Gen1,547010066,Barb,397591248,800981516,SIGRID,Pat,665554047,665554047,Ralph,800981516,,665554047,B,547010066,A,665554047,B,B
12,BREANN,Cherry Bomb,958402396.0,958402396.0,SIGRID,665554047.0,899766072.0,SIGRID,665554047.0,899766072.0,C,False,Gen1,Daryl,899766072,Gen1,899766072,Mary,225766667,800981516,SIGRID,Pat,665554047,665554047,Ralph,800981516,,665554047,B,899766072,B,665554047,B,B
13,Jessie,I'll Fall In Love Again,642684610.0,642684610.0,SIGRID,665554047.0,899766072.0,SIGRID,665554047.0,899766072.0,A,False,Gen1,Daryl,899766072,Gen1,899766072,Mary,225766667,800981516,SIGRID,Pat,665554047,665554047,Ralph,800981516,,665554047,B,899766072,B,665554047,B,B
14,Elliot,Renegade,415397299.0,415397299.0,SIGRID,665554047.0,832399950.0,SIGRID,665554047.0,832399950.0,B,True,Gen1,Keon,832399950,Gen1,832399950,Mary,225766667,800981516,SIGRID,Pat,665554047,665554047,Ralph,800981516,,665554047,B,832399950,C,665554047,B,B
15,Tre,Midnight Blue,480295193.0,480295193.0,SIGRID,665554047.0,832399950.0,SIGRID,665554047.0,832399950.0,C,False,Gen1,Keon,832399950,Gen1,832399950,Mary,225766667,800981516,SIGRID,Pat,665554047,665554047,Ralph,800981516,,665554047,B,832399950,C,665554047,B,B
16,DELIA,I Can't Quit You Baby,980389841.0,980389841.0,SIGRID,665554047.0,166717594.0,SIGRID,665554047.0,166717594.0,C,False,Gen1,Zane,166717594,Gen1,166717594,Mary,225766667,800981516,SIGRID,Pat,665554047,665554047,Ralph,800981516,,665554047,B,166717594,A,665554047,B,B
17,Stone,For Those About To Rock,637744017.0,637744017.0,SIGRID,665554047.0,410735727.0,SIGRID,665554047.0,410735727.0,C,False,Gen1,Agustin,410735727,Gen1,410735727,Liz,630559425,800981516,SIGRID,Pat,665554047,665554047,Ralph,800981516,,665554047,B,410735727,C,665554047,B,B
18,ELFRIEDE,Diamond Dogs,731016188.0,731016188.0,SIGRID,665554047.0,215097449.0,SIGRID,665554047.0,215097449.0,B,True,Gen1,Shane,215097449,Gen1,215097449,Barb,397591248,800981516,SIGRID,Pat,665554047,665554047,Ralph,800981516,,665554047,B,215097449,B,665554047,B,B
19,GAYLE,Bad Case Of Lovin' You,848355034.0,848355034.0,SIGRID,665554047.0,215097449.0,SIGRID,665554047.0,215097449.0,C,False,Gen1,Shane,215097449,Gen1,215097449,Barb,397591248,800981516,SIGRID,Pat,665554047,665554047,Ralph,800981516,,665554047,B,215097449,B,665554047,B,B
20,Christopher,HEARD IT IN A LOVE SONG,673375265.0,673375265.0,SIGRID,665554047.0,895795063.0,SIGRID,665554047.0,895795063.0,B,True,Gen1,Deandre,895795063,Gen1,895795063,Mary,225766667,800981516,SIGRID,Pat,665554047,665554047,Ralph,800981516,,665554047,B,895795063,B,665554047,B,B
21,CAREN,Have a Drink On Me,735526478.0,735526478.0,SIGRID,665554047.0,644476251.0,SIGRID,665554047.0,644476251.0,C,False,Gen1,Draven,644476251,Gen1,644476251,Pat,631311759,800981516,SIGRID,Pat,665554047,665554047,Ralph,800981516,,665554047,B,644476251,A,665554047,B,B
22,Gerard,Starman,548217185.0,548217185.0,SIGRID,665554047.0,644476251.0,SIGRID,665554047.0,644476251.0,B,True,Gen1,Draven,644476251,Gen1,644476251,Pat,631311759,800981516,SIGRID,Pat,665554047,665554047,Ralph,800981516,,665554047,B,644476251,A,665554047,B,B
23,APOLONIA,Fly,2191690.0,2191690.0,SIGRID,665554047.0,586071738.0,SIGRID,665554047.0,586071738.0,B,True,Gen1,Bradly,586071738,Gen1,586071738,Mary,225766667,800981516,SIGRID,Pat,665554047,665554047,Ralph,800981516,,665554047,B,586071738,B,665554047,B,B
24,Darrin,Lyin' Eyes,385416956.0,385416956.0,SIGRID,665554047.0,586071738.0,SIGRID,665554047.0,586071738.0,A,False,Gen1,Bradly,586071738,Gen1,586071738,Mary,225766667,800981516,SIGRID,Pat,665554047,665554047,Ralph,800981516,,665554047,B,586071738,B,665554047,B,B
25,Leonard,"De Do Do Do, De Da Da Da",878787265.0,878787265.0,SIGRID,665554047.0,438876429.0,SIGRID,665554047.0,438876429.0,B,True,Gen1,Elmer,438876429,Gen1,438876429,Liz,630559425,800981516,SIGRID,Pat,665554047,665554047,Ralph,800981516,,665554047,B,438876429,C,665554047,B,B
26,JOSETTE,Hold Me,987982290.0,987982290.0,RAYMONDE,8100096.0,159398693.0,RAYMONDE,8100096.0,159398693.0,C,False,Gen1,Rowan,159398693,Gen1,159398693,Liz,630559425,800981516,RAYMONDE,Barb,8100096,8100096,Ralph,800981516,,8100096,B,159398693,A,8100096,B,B
27,JOCELYN,The Changeling,161265362.0,161265362.0,RAYMONDE,8100096.0,547010066.0,RAYMONDE,8100096.0,547010066.0,B,True,Gen1,Camden,547010066,Gen1,547010066,Barb,397591248,800981516,RAYMONDE,Barb,8100096,8100096,Ralph,800981516,,8100096,B,547010066,A,8100096,B,B
28,RISA,Two Of Us,822753120.0,822753120.0,RAYMONDE,8100096.0,366589281.0,RAYMONDE,8100096.0,366589281.0,C,False,Gen1,Donavan,366589281,Gen1,366589281,Pat,631311759,800981516,RAYMONDE,Barb,8100096,8100096,Ralph,800981516,,8100096,B,366589281,B,8100096,B,B
29,Misael,Mistral Wind,357169409.0,357169409.0,RAYMONDE,8100096.0,238679265.0,RAYMONDE,8100096.0,238679265.0,B,True,Gen1,Keyon,238679265,Gen1,238679265,Pat,631311759,800981516,RAYMONDE,Barb,8100096,8100096,Ralph,800981516,,8100096,B,238679265,C,8100096,B,B
30,LASHELL,Brothers In Arms,460739427.0,460739427.0,RAYMONDE,8100096.0,562628161.0,RAYMONDE,8100096.0,562628161.0,C,False,Gen1,Keaton,562628161,Gen1,562628161,Mary,225766667,800981516,RAYMONDE,Barb,8100096,8100096,Ralph,800981516,,8100096,B,562628161,A,8100096,B,B
31,Gaven,I Am the Walrus,643369886.0,643369886.0,RAYMONDE,8100096.0,734902635.0,RAYMONDE,8100096.0,734902635.0,A,False,Gen1,Santos,734902635,Gen1,734902635,Mary,225766667,800981516,RAYMONDE,Barb,8100096,8100096,Ralph,800981516,,8100096,B,734902635,B,8100096,B,B
32,Adonis,Jamming,470524409.0,470524409.0,RAYMONDE,8100096.0,376496129.0,RAYMONDE,8100096.0,376496129.0,A,False,Gen1,Fred,376496129,Gen1,376496129,Barb,397591248,800981516,RAYMONDE,Barb,8100096,8100096,Ralph,800981516,,8100096,B,376496129,B,8100096,B,B
33,LOUELLA,How You Remind Me,296995506.0,296995506.0,RAYMONDE,8100096.0,315771200.0,RAYMONDE,8100096.0,315771200.0,C,False,Gen1,Terrance,315771200,Gen1,315771200,Pat,631311759,800981516,RAYMONDE,Barb,8100096,8100096,Ralph,800981516,,8100096,B,315771200,B,8100096,B,B
34,KIARA,Maggie May,279304227.0,279304227.0,RAYMONDE,8100096.0,487712461.0,RAYMONDE,8100096.0,487712461.0,A,False,Gen1,Pierce,487712461,Gen1,487712461,Pat,631311759,800981516,RAYMONDE,Barb,8100096,8100096,Ralph,800981516,,8100096,B,487712461,B,8100096,B,B
35,Branden,While My Guitar Gently Weeps,571570019.0,571570019.0,RAYMONDE,8100096.0,275508229.0,RAYMONDE,8100096.0,275508229.0,A,False,Gen1,Evan,275508229,Gen1,275508229,Pat,631311759,800981516,RAYMONDE,Barb,8100096,8100096,Ralph,800981516,,8100096,B,275508229,B,8100096,B,B
36,MAGARET,This Beat Goes on/Switching to Glide,430429594.0,430429594.0,RAYMONDE,8100096.0,318423581.0,RAYMONDE,8100096.0,318423581.0,A,False,Gen1,Orion,318423581,Gen1,318423581,Barb,397591248,800981516,RAYMONDE,Barb,8100096,8100096,Ralph,800981516,,8100096,B,318423581,C,8100096,B,B
37,Tariq,Roll On Down The Highway,73280899.0,73280899.0,RAYMONDE,8100096.0,500829711.0,RAYMONDE,8100096.0,500829711.0,B,True,Gen1,Shea,500829711,Gen1,500829711,Pat,631311759,800981516,RAYMONDE,Barb,8100096,8100096,Ralph,800981516,,8100096,B,500829711,C,8100096,B,B
38,Felix,No One to Depend On,559547307.0,559547307.0,RAYMONDE,8100096.0,500829711.0,RAYMONDE,8100096.0,500829711.0,B,True,Gen1,Shea,500829711,Gen1,500829711,Pat,631311759,800981516,RAYMONDE,Barb,8100096,8100096,Ralph,800981516,,8100096,B,500829711,C,8100096,B,B
39,Jeremy,Flying High Again,77644874.0,77644874.0,DEANN,926888028.0,159398693.0,DEANN,926888028.0,159398693.0,B,True,Gen1,Rowan,159398693,Gen1,159398693,Liz,630559425,800981516,DEANN,Pat,926888028,926888028,Ralph,800981516,,926888028,C,159398693,A,926888028,C,C
40,Holden,Two Tickets To Paradise,137858153.0,137858153.0,DEANN,926888028.0,812637399.0,DEANN,926888028.0,812637399.0,A,False,Gen1,Fidel,812637399,Gen1,812637399,Liz,630559425,800981516,DEANN,Pat,926888028,926888028,Ralph,800981516,,926888028,C,812637399,B,926888028,C,C
