,Name,Favorite_Song,C_IDtwr,E_IDtwr,Mother,PH_ID_Chicken,PR_ID_Chicken,PH_Name,PH_ID_Egg,PR_ID_Egg,I_LOC,NW,Parent_Gen,Father,C_ID_Father,Generation,E_ID_Father,PH_Name_Father,PH_ID,PR_ID,GrandMother,C_ID_Maternal_Mother,E_ID_Maternal_Mother,GrandFather,C_ID,E_IDChicken,E_ID_MotherIL,Mother_I_LOC,E_IDCMF,Father_I_LOC,E_ID_GrandMother_IL,GrandMother_I_LOC,E_ID,GrandFather_I_LOC
0,DELIA,Take It Back,694262449.0,694262449.0,ROXANNA,858850087.0,118622698.0,ROXANNA,858850087.0,118622698.0,A,False,Gen1,Clay,118622698,Gen1,118622698,Liz,630559425,800981516,ROXANNA,858850087,858850087,Ralph,800981516,,858850087,B,118622698,B,858850087,B,118622698,B
1,AMBERLY,Rosalita (Come Out Tonight),685215078.0,685215078.0,ROXANNA,858850087.0,118622698.0,ROXANNA,858850087.0,118622698.0,C,False,Gen1,Clay,118622698,Gen1,118622698,Liz,630559425,800981516,ROXANNA,858850087,858850087,Ralph,800981516,,858850087,B,118622698,B,858850087,B,118622698,B
2,Lewis,Solid Rock,483539570.0,483539570.0,JOANE,284906937.0,118622698.0,JOANE,284906937.0,118622698.0,A,False,Gen1,Clay,118622698,Gen1,118622698,Liz,630559425,800981516,JOANE,284906937,284906937,Ralph,800981516,,284906937,C,118622698,B,284906937,C,118622698,B
3,LEISHA,San Franciscan Nights,976518197.0,976518197.0,LILIANA,154656326.0,118622698.0,LILIANA,154656326.0,118622698.0,C,False,Gen1,Clay,118622698,Gen1,118622698,Liz,630559425,800981516,LILIANA,154656326,154656326,Ralph,800981516,,154656326,A,118622698,B,154656326,A,118622698,B
4,Willie,Levon,637498542.0,637498542.0,MALORIE,785972587.0,118622698.0,MALORIE,785972587.0,118622698.0,B,True,Gen1,Clay,118622698,Gen1,118622698,Liz,630559425,800981516,MALORIE,785972587,785972587,Ralph,800981516,,785972587,B,118622698,B,785972587,B,118622698,B
5,Maximillian,A Trick of the Tail,707360237.0,707360237.0,MALORIE,785972587.0,118622698.0,MALORIE,785972587.0,118622698.0,B,True,Gen1,Clay,118622698,Gen1,118622698,Liz,630559425,800981516,MALORIE,785972587,785972587,Ralph,800981516,,785972587,B,118622698,B,785972587,B,118622698,B
6,Jaron,I Can't Stand It,13965097.0,13965097.0,MALORIE,785972587.0,118622698.0,MALORIE,785972587.0,118622698.0,B,True,Gen1,Clay,118622698,Gen1,118622698,Liz,630559425,800981516,MALORIE,785972587,785972587,Ralph,800981516,,785972587,B,118622698,B,785972587,B,118622698,B
7,Dallas,Trampled Under Foot,877044757.0,877044757.0,ADRIANNA,895601231.0,118622698.0,ADRIANNA,895601231.0,118622698.0,C,False,Gen1,Clay,118622698,Gen1,118622698,Liz,630559425,800981516,ADRIANNA,895601231,895601231,Ralph,800981516,,895601231,C,118622698,B,895601231,C,118622698,B
8,ALINE,Your Love,775182247.0,775182247.0,SONG,739930909.0,118622698.0,SONG,739930909.0,118622698.0,C,False,Gen1,Clay,118622698,Gen1,118622698,Liz,630559425,800981516,SONG,739930909,739930909,Ralph,800981516,,739930909,A,118622698,B,739930909,A,118622698,B
9,Dillion,Junior's Farm,106245488.0,106245488.0,RUBIE,449188808.0,118622698.0,RUBIE,449188808.0,118622698.0,C,False,Gen1,Clay,118622698,Gen1,118622698,Liz,630559425,800981516,RUBIE,449188808,449188808,Ralph,800981516,,449188808,C,118622698,B,449188808,C,118622698,B
10,ARLEEN,New Kid In Town,941979761.0,941979761.0,YANG,267447917.0,118622698.0,YANG,267447917.0,118622698.0,A,False,Gen1,Clay,118622698,Gen1,118622698,Liz,630559425,800981516,YANG,267447917,267447917,Ralph,800981516,,267447917,C,118622698,B,267447917,C,118622698,B
11,WINNIE,Tainted Love,789818666.0,789818666.0,ALEXANDRA,204287992.0,118622698.0,ALEXANDRA,204287992.0,118622698.0,C,False,Gen1,Clay,118622698,Gen1,118622698,Liz,630559425,800981516,ALEXANDRA,204287992,204287992,Ralph,800981516,,204287992,C,118622698,B,204287992,C,118622698,B
12,Jameson,Fortune Teller,783294916.0,783294916.0,CLARINE,942656235.0,118622698.0,CLARINE,942656235.0,118622698.0,A,False,Gen1,Clay,118622698,Gen1,118622698,Liz,630559425,800981516,CLARINE,942656235,942656235,Ralph,800981516,,942656235,B,118622698,B,942656235,B,118622698,B
13,Isai,Everybody Wants Some!!,729711119.0,729711119.0,SHENIKA,414449737.0,118622698.0,SHENIKA,414449737.0,118622698.0,A,False,Gen1,Clay,118622698,Gen1,118622698,Liz,630559425,800981516,SHENIKA,414449737,414449737,Ralph,800981516,,414449737,A,118622698,B,414449737,A,118622698,B
