,Name_t,Favorite_Song,C_ID_t,E_ID_t,Mother,PH_ID_Chicken,PR_ID_Chicken,PH_Name_t,PH_ID_Egg,PR_ID_Egg,IH_LOC,NW,Parent_Gen,Name_Father,C_ID_Father,Generation,E_ID_Father,PH_Name_Father,PH_ID,PR_ID
0,LORRINE,Jeremy,169163902,169163902.0,Liz,630559425,800981516,Liz,630559425,800981516,C,False,Initial_Flock,Ralph,800981516,Initial_Flock,,,,
1,DOROTHA,Ticket to Ride,429368417,429368417.0,Barb,397591248,800981516,Barb,397591248,800981516,A,False,Initial_Flock,Ralph,800981516,Initial_Flock,,,,
2,EBONY,Sex and Candy,802336212,802336212.0,Pat,631311759,800981516,Pat,631311759,800981516,C,False,Initial_Flock,Ralph,800981516,Initial_Flock,,,,
3,KARIMA,South California Purples,3703835,3703835.0,Liz,630559425,800981516,Liz,630559425,800981516,B,True,Initial_Flock,Ralph,800981516,Initial_Flock,,,,
4,ANNABELLE,Feelin' Alright,826181444,826181444.0,Barb,397591248,800981516,Barb,397591248,800981516,C,False,Initial_Flock,Ralph,800981516,Initial_Flock,,,,
5,TRUDIE,Ice Cream Man,656829586,656829586.0,Mary,225766667,800981516,Mary,225766667,800981516,B,True,Initial_Flock,Ralph,800981516,Initial_Flock,,,,
6,DONELLA,Yours Is No Disgrace,707763018,707763018.0,Pat,631311759,800981516,Pat,631311759,800981516,B,True,Initial_Flock,Ralph,800981516,Initial_Flock,,,,
7,ELIZA,Youth Gone Wild,781565078,781565078.0,Mary,225766667,800981516,Mary,225766667,800981516,C,False,Initial_Flock,Ralph,800981516,Initial_Flock,,,,
8,RAYMONDE,Working for the Weekend,8100096,8100096.0,Barb,397591248,800981516,Barb,397591248,800981516,B,True,Initial_Flock,Ralph,800981516,Initial_Flock,,,,
9,PORSHA,MLK/Pride,343860271,343860271.0,Liz,630559425,800981516,Liz,630559425,800981516,A,False,Initial_Flock,Ralph,800981516,Initial_Flock,,,,
10,KAYLENE,Feelin' Alright,853998911,853998911.0,Barb,397591248,800981516,Barb,397591248,800981516,C,False,Initial_Flock,Ralph,800981516,Initial_Flock,,,,
11,MITSUKO,Take the Money and Run,413557007,413557007.0,Mary,225766667,800981516,Mary,225766667,800981516,A,False,Initial_Flock,Ralph,800981516,Initial_Flock,,,,
12,WEI,Welcome To My Nightmare,204089050,204089050.0,Liz,630559425,800981516,Liz,630559425,800981516,C,False,Initial_Flock,Ralph,800981516,Initial_Flock,,,,
13,VALENCIA,One Way Street,469517415,469517415.0,Pat,631311759,800981516,Pat,631311759,800981516,A,False,Initial_Flock,Ralph,800981516,Initial_Flock,,,,
14,LEIDA,Every Breath You Take,743662901,743662901.0,Mary,225766667,800981516,Mary,225766667,800981516,C,False,Initial_Flock,Ralph,800981516,Initial_Flock,,,,
15,SUSANN,Big Shot,553394192,553394192.0,Pat,631311759,800981516,Pat,631311759,800981516,B,True,Initial_Flock,Ralph,800981516,Initial_Flock,,,,
16,LISBETH,And the Cradle Will Rock...,166292825,166292825.0,Mary,225766667,800981516,Mary,225766667,800981516,B,True,Initial_Flock,Ralph,800981516,Initial_Flock,,,,
17,JOEL,Foreplay (Long Time),557133457,557133457.0,Mary,225766667,800981516,Mary,225766667,800981516,C,False,Initial_Flock,Ralph,800981516,Initial_Flock,,,,
18,SIGRID,I Heard It Through the Grapevine,665554047,665554047.0,Pat,631311759,800981516,Pat,631311759,800981516,B,True,Initial_Flock,Ralph,800981516,Initial_Flock,,,,
19,CAREN,Nothing Else Matters,606523844,606523844.0,Liz,630559425,800981516,Liz,630559425,800981516,C,False,Initial_Flock,Ralph,800981516,Initial_Flock,,,,
20,LAUREEN,Ain't That a Shame,20199146,20199146.0,Mary,225766667,800981516,Mary,225766667,800981516,A,False,Initial_Flock,Ralph,800981516,Initial_Flock,,,,
21,WINDY,American Pie,902691509,902691509.0,Mary,225766667,800981516,Mary,225766667,800981516,B,True,Initial_Flock,Ralph,800981516,Initial_Flock,,,,
22,KERI,ALL YOU ZOMBIES,780022278,780022278.0,Mary,225766667,800981516,Mary,225766667,800981516,A,False,Initial_Flock,Ralph,800981516,Initial_Flock,,,,
23,DEEDRA,Strawberry Fields Forever,738169747,738169747.0,Barb,397591248,800981516,Barb,397591248,800981516,B,True,Initial_Flock,Ralph,800981516,Initial_Flock,,,,
24,PALMIRA,Smokin',947646042,947646042.0,Mary,225766667,800981516,Mary,225766667,800981516,B,True,Initial_Flock,Ralph,800981516,Initial_Flock,,,,
25,DANELLE,Good Clean Fun,24517643,24517643.0,Barb,397591248,800981516,Barb,397591248,800981516,A,False,Initial_Flock,Ralph,800981516,Initial_Flock,,,,
26,MARVA,Find Your Way Back,926985715,926985715.0,Barb,397591248,800981516,Barb,397591248,800981516,B,True,Initial_Flock,Ralph,800981516,Initial_Flock,,,,
27,HANNELORE,Bad Case Of Lovin' You,452295024,452295024.0,Barb,397591248,800981516,Barb,397591248,800981516,C,False,Initial_Flock,Ralph,800981516,Initial_Flock,,,,
28,ONITA,Learning to Fly,467219506,467219506.0,Barb,397591248,800981516,Barb,397591248,800981516,A,False,Initial_Flock,Ralph,800981516,Initial_Flock,,,,
29,PHILOMENA,Helter Skelter,667447653,667447653.0,Pat,631311759,800981516,Pat,631311759,800981516,C,False,Initial_Flock,Ralph,800981516,Initial_Flock,,,,
30,DONALD,Fly Away,588069897,588069897.0,Pat,631311759,800981516,Pat,631311759,800981516,A,False,Initial_Flock,Ralph,800981516,Initial_Flock,,,,
31,DEE,Houses of the Holy,959345304,959345304.0,Pat,631311759,800981516,Pat,631311759,800981516,C,False,Initial_Flock,Ralph,800981516,Initial_Flock,,,,
32,BRUNA,Spoonman,251327657,251327657.0,Pat,631311759,800981516,Pat,631311759,800981516,A,False,Initial_Flock,Ralph,800981516,Initial_Flock,,,,
33,LATRINA,Sunset Grill,998541997,998541997.0,Barb,397591248,800981516,Barb,397591248,800981516,A,False,Initial_Flock,Ralph,800981516,Initial_Flock,,,,
34,GREGORY,In The Mood,283501077,283501077.0,Pat,631311759,800981516,Pat,631311759,800981516,B,True,Initial_Flock,Ralph,800981516,Initial_Flock,,,,
35,ALEXA,Second Hand News,117706579,117706579.0,Pat,631311759,800981516,Pat,631311759,800981516,A,False,Initial_Flock,Ralph,800981516,Initial_Flock,,,,
36,CHER,"Mama, I'm Coming Home",829303710,829303710.0,Barb,397591248,800981516,Barb,397591248,800981516,B,True,Initial_Flock,Ralph,800981516,Initial_Flock,,,,
37,LORELEI,Bad Time,67652556,67652556.0,Liz,630559425,800981516,Liz,630559425,800981516,B,True,Initial_Flock,Ralph,800981516,Initial_Flock,,,,
38,CHARLOTT,Cinnamon Girl,184064731,184064731.0,Barb,397591248,800981516,Barb,397591248,800981516,B,True,Initial_Flock,Ralph,800981516,Initial_Flock,,,,
39,ALENA,Monkey Man,685636472,685636472.0,Pat,631311759,800981516,Pat,631311759,800981516,C,False,Initial_Flock,Ralph,800981516,Initial_Flock,,,,
40,CHARLIE,Poundcake,255511571,255511571.0,Mary,225766667,800981516,Mary,225766667,800981516,B,True,Initial_Flock,Ralph,800981516,Initial_Flock,,,,
41,CHANG,Runaway,68733723,68733723.0,Barb,397591248,800981516,Barb,397591248,800981516,C,False,Initial_Flock,Ralph,800981516,Initial_Flock,,,,
42,CHERISH,Yesterday,772211637,772211637.0,Barb,397591248,800981516,Barb,397591248,800981516,A,False,Initial_Flock,Ralph,800981516,Initial_Flock,,,,
43,KIYOKO,Stuck In the Middle With You,978825302,978825302.0,Pat,631311759,800981516,Pat,631311759,800981516,B,True,Initial_Flock,Ralph,800981516,Initial_Flock,,,,
44,URSULA,When You Close Your Eyes,531161372,531161372.0,Barb,397591248,800981516,Barb,397591248,800981516,C,False,Initial_Flock,Ralph,800981516,Initial_Flock,,,,
45,ASIA,Bebe le Strange,417641352,417641352.0,Liz,630559425,800981516,Liz,630559425,800981516,B,True,Initial_Flock,Ralph,800981516,Initial_Flock,,,,
46,ERMA,The Warrior,357704368,357704368.0,Mary,225766667,800981516,Mary,225766667,800981516,A,False,Initial_Flock,Ralph,800981516,Initial_Flock,,,,
47,AMEE,You Oughta Know,711995664,711995664.0,Pat,631311759,800981516,Pat,631311759,800981516,C,False,Initial_Flock,Ralph,800981516,Initial_Flock,,,,
